host,port,section,direction,name,strength,reason,reference
192.168.1.254,22,banner,,SSH-2.0-dropbear_2017.75,,,
192.168.1.254,22,resolved_hostname,,GEN8,,,
192.168.1.254,22,version,,SSH v2,,,
192.168.1.254,22,first_kex_packet_follows,,False,,,
192.168.1.254,22,scan_duration_seconds,,2.209,,,
192.168.1.254,22,kex_algorithm,,curve25519-sha256@libssh.org,strong,Libssh.org Curve25519 (2014) w/ SHA-256; aligns with NIST >=128-bit recommendations.,
192.168.1.254,22,kex_algorithm,,diffie-hellman-group14-sha256,strong,2048-bit MODP Group14 + SHA-256 (2014 refresh) satisfies NIST 112-bit baseline.,https://csrc.nist.gov/publications/detail/sp/800-56a/rev-3/final
192.168.1.254,22,kex_algorithm,,diffie-hellman-group16-sha512,strong,4096-bit MODP Group16 + SHA-512 exceeds NIST Level 1 (112-bit) recommendations.,https://csrc.nist.gov/publications/detail/sp/800-56a/rev-3/final
192.168.1.254,22,host_key_algorithm,,ecdsa-sha2-nistp521,strong,"ECDSA P-521 (2009) ~256-bit, aligned with NIST Level 3.",https://csrc.nist.gov/publications/detail/fips/186/5/final
192.168.1.254,22,host_key_algorithm,,ssh-rsa,weak,RSA with SHA-1 (2006); fails NIST guidance due to SHA-1 collisions.,https://csrc.nist.gov/publications/detail/sp/800-131a/rev-2/final
192.168.1.254,22,host_key_algorithm,,ssh-dss,weak,DSA limited to 1024-bit modulus (1994); below NIST minimum 112-bit strength.,https://csrc.nist.gov/publications/detail/sp/800-131a/rev-2/final
192.168.1.254,22,cipher,client->server,aes256-ctr,strong,AES-256 (2001) in CTR mode; 256-bit key gives long-term strength.,https://csrc.nist.gov/publications/detail/sp/800-38a/final
192.168.1.254,22,cipher,client->server,aes128-ctr,strong,AES-128 (2001) in CTR mode; 128-bit key remains strong when paired with modern MACs.,https://csrc.nist.gov/publications/detail/sp/800-38a/final
192.168.1.254,22,cipher,client->server,aes256-cbc,weak,AES-256 (2001) in CBC mode; padding oracles and lack of integrity make it risky.,https://csrc.nist.gov/publications/detail/sp/800-38a/final
192.168.1.254,22,cipher,client->server,twofish256-cbc,weak,"Older (pre-2005) design with limited block size or known attacks (e.g., padding or keystream biases).",
192.168.1.254,22,cipher,client->server,aes128-cbc,weak,AES-128 (2001) in CBC mode; prone to padding-oracle attacks without extra mitigations.,https://csrc.nist.gov/publications/detail/sp/800-38a/final
192.168.1.254,22,cipher,client->server,twofish-cbc,weak,Twofish (1998) but used in CBC without authentication; better options exist today.,
192.168.1.254,22,cipher,server->client,aes256-ctr,strong,AES-256 (2001) in CTR mode; 256-bit key gives long-term strength.,https://csrc.nist.gov/publications/detail/sp/800-38a/final
192.168.1.254,22,cipher,server->client,aes128-ctr,strong,AES-128 (2001) in CTR mode; 128-bit key remains strong when paired with modern MACs.,https://csrc.nist.gov/publications/detail/sp/800-38a/final
192.168.1.254,22,cipher,server->client,aes256-cbc,weak,AES-256 (2001) in CBC mode; padding oracles and lack of integrity make it risky.,https://csrc.nist.gov/publications/detail/sp/800-38a/final
192.168.1.254,22,cipher,server->client,twofish256-cbc,weak,"Older (pre-2005) design with limited block size or known attacks (e.g., padding or keystream biases).",
192.168.1.254,22,cipher,server->client,aes128-cbc,weak,AES-128 (2001) in CBC mode; prone to padding-oracle attacks without extra mitigations.,https://csrc.nist.gov/publications/detail/sp/800-38a/final
192.168.1.254,22,cipher,server->client,twofish-cbc,weak,Twofish (1998) but used in CBC without authentication; better options exist today.,
192.168.1.254,22,mac,client->server,hmac-sha2-512,strong,,
192.168.1.254,22,mac,client->server,hmac-sha2-256,strong,,
192.168.1.254,22,mac,server->client,hmac-sha2-512,strong,,
192.168.1.254,22,mac,server->client,hmac-sha2-256,strong,,
192.168.1.254,22,cve_query,,dropbear 2017.75 dropbear 2017.75,,,https://nvd.nist.gov/vuln/search/results?query=dropbear%202017.75%20dropbear%202017.75
192.168.1.254,22,cve,,CVE-2017-9078,,The server in Dropbear before 2017.75 might allow post-authentication root remote code execution because of a double free in cleanup of TCP listeners when the -a option is enabled.,https://nvd.nist.gov/vuln/detail/CVE-2017-9078
192.168.1.254,22,cve,,CVE-2017-9079,,"Dropbear before 2017.75 might allow local users to read certain files as root, if the file has the authorized_keys file format with a command= option. This occurs because ~/.ssh/authorized_keys is read with root privileges and symlinks are followed.",https://nvd.nist.gov/vuln/detail/CVE-2017-9079
